"Al","Ba","Ca","Cr","Fe","K","Mg","Mn","Na","Nb","P","Si","Sr","Ti","V","Y","Zn","Zr","LOI"
52925,404,16931,86,32454,12095,9588,798,12092,15,598,327301,117,5252,103,29,60,320,6.92
54354,206,51944,79,31964,19384,8623,1440,519,16,934,267141,205,4029,99,41,118,157,15.36
42023,362,3209,155,26159,20637,4643,519,2596,10,912,343147,52,4382,80,14,50,327,9.62
13866,96,271801,18,6994,3686,9588,116,297,5,367,101154,391,929,18,12,19,111,34.17
75312,452,9084,262,42595,15864,13990,1603,8828,17,969,288784,96,5497,129,37,101,293,9.48
24769,60,593,29,13149,3960,543,46,223,8,214,418405,12,1888,35,13,14,119,2.77
60864,509,13858,47,29236,21393,6513,860,15060,20,1196,306733,171,4646,87,28,97,286,9.63
58800,280,5460,68,37000,15017,5910,1944,7344,14,956,312763,83,3267,84,38,114,160,10.84
28950,255,3967,59,19304,9671,1869,666,2819,14,576,389797,47,3543,57,25,39,381,4.95
18841,251,1851,21,5735,10435,1025,310,3561,6,563,422986,41,1427,18,12,24,250,2.42
70708,420,16860,102,37420,20488,13990,2656,7122,16,1104,267749,108,4592,115,31,100,209,14.09
62028,301,42217,102,34482,14445,5066,844,2967,20,1602,257606,107,4892,108,41,121,343,17.54
48056,354,3974,94,24200,16993,4101,751,5861,20,786,353384,71,5521,74,40,65,558,6.32
86215,457,2080,118,49380,26531,15377,1162,4451,15,1222,275322,41,4802,131,29,164,205,9.58
71819,678,3431,64,30355,24058,5910,867,6009,17,1510,313652,87,4400,78,33,86,318,8.35
83039,441,6104,112,43645,20696,12121,1038,11350,15,515,286821,95,5204,116,33,95,208,8.4
45198,282,6461,27,18325,15142,2895,480,16543,13,388,365210,107,3459,42,15,25,174,4.36
63616,742,6961,8,7624,30558,1447,248,24036,13,585,334686,167,2068,21,18,30,278,6.39
67374,418,18768,102,34132,17167,10915,805,8828,18,956,292477,109,5210,94,38,71,340,10.58
78911,391,2451,80,44764,18006,5849,1348,5638,15,1864,279108,75,5174,130,28,100,218,13.01
35619,305,5703,75,16017,13448,2593,875,6306,14,2165,362966,71,3903,64,32,71,543,8.13
61922,525,7411,94,29166,15731,8865,612,14615,11,1641,311735,162,5012,90,23,81,242,9.49
55201,588,7740,18,15318,22970,1930,604,19066,12,1772,324496,124,2356,23,17,48,305,10.12
54037,304,38044,56,28327,13888,4040,519,1484,14,445,316456,98,3621,74,29,53,327,9.07
61287,541,3395,34,17836,25203,3317,318,6083,10,816,347073,64,2908,51,35,67,275,5.79
56101,221,42961,556,42805,10244,29669,968,12166,9,628,249192,148,3495,109,23,63,110,14.91
59329,646,10792,23,28957,23369,6452,534,15579,28,1802,317718,140,4598,58,45,89,314,7.64
3758,85,13172,17,4896,714,5970,147,816,3,816,22203,35,246,11,6,4,13,90.37
35619,236,1351,73,20703,8252,2472,1154,2300,15,471,383767,51,4514,59,31,40,418,5.09
62981,598,18082,21,16647,16777,4885,418,20253,10,742,307855,262,2860,42,20,40,199,10.79
37841,190,2802,46,20703,10593,3799,589,2226,13,882,371100,60,4155,57,27,72,346,6.7
76212,477,14030,248,42386,18911,12483,999,6232,17,925,279622,104,5312,117,38,97,238,10.92
16618,181,5753,28,7274,6716,1206,325,1929,8,777,415226,41,1523,19,17,26,233,4.26
35142,354,4495,84,15807,14968,2472,387,6454,14,772,380168,74,4107,50,33,84,664,4.84
52608,359,12450,92,14478,11058,5367,248,18472,6,567,353431,184,1673,39,9,40,110,5.28
69120,319,62501,334,48191,15017,16342,2486,4525,10,650,219322,120,3999,129,35,95,142,17.67
39482,260,148801,40,18465,11406,52826,364,1929,8,537,133127,1138,2086,55,17,54,103,28.37
43716,408,6368,42,18885,24298,5608,511,4080,10,1322,360582,96,2974,45,24,47,294,5.47
97223,974,29546,30,36930,33986,10372,906,5193,29,729,230447,1246,3747,125,37,79,465,14.86
56206,662,6904,12,14338,26357,1628,503,18843,14,755,329638,169,2170,27,15,47,315,9.04
35301,320,3724,77,16786,15258,3136,356,6083,10,1453,363013,63,2854,44,15,51,289,8.48
19265,230,1608,26,5945,9580,1025,225,2893,5,375,421910,39,1727,20,11,31,289,2.77
9103,135,1558,18,4267,5039,362,225,1410,4,615,426678,24,1211,25,11,26,295,4.83
65574,803,10213,16,18885,27835,3256,620,20846,14,790,318793,260,2860,44,20,59,306,7.54
58747,384,62329,88,29096,17309,11096,984,10683,10,851,267702,266,2926,68,28,81,187,12.14
59382,415,90052,85,29306,17018,16764,829,7567,14,864,223857,206,3249,83,31,69,170,16.99
69279,679,18861,34,37420,19010,9287,751,18472,13,1977,283034,209,5791,82,48,124,321,10.19
37100,420,5182,38,11820,18363,2412,302,5119,10,602,373811,85,2650,36,27,31,435,6.43
70179,341,2959,75,37699,15756,9287,627,6751,14,724,316830,57,5743,99,27,59,278,7.36
42181,397,4874,84,20074,16063,3196,1076,6009,16,960,364696,74,4424,65,35,95,598,5.79
74519,483,28938,96,38819,17848,16041,635,10683,19,1104,265131,154,5030,105,33,96,224,11.74
67321,716,11707,28,25459,27046,6091,798,19511,16,1021,311969,183,3459,61,39,93,261,7.15
12808,82,317470,24,6715,2366,1930,511,742,7,1445,53475,650,959,29,24,47,84,39.23
26410,280,4024,32,11261,11323,2050,279,4006,9,646,390265,52,1954,27,16,35,269,6.41
58323,376,19390,120,28747,18662,15377,751,6677,16,960,290139,89,4628,88,39,79,372,12.91
35354,353,93,41,25110,10618,1447,256,964,13,319,386058,22,4442,49,30,33,839,4.36
61922,545,13444,65,29796,15806,8985,441,12612,13,1816,189360,151,3819,78,30,69,139,35.16
1958,27,16510,8,5665,432,6332,70,148,4,1562,19492,47,90,11,6,5,4,90.51
41546,399,6790,64,16786,16611,3196,635,5267,15,572,367688,82,4143,54,35,39,529,5.71
64886,573,9698,34,21612,22721,5005,403,16543,12,729,314446,162,2854,56,24,63,238,9.26
40382,284,223773,44,28047,11863,6935,325,4377,9,524,112840,774,1894,50,15,50,81,28.77
53084,425,9727,18,13149,22854,3256,356,16914,6,755,354926,159,1637,23,27,34,258,4.52
57583,377,28366,83,28257,15814,13508,697,5935,14,681,291168,89,4352,85,38,68,374,12.53
48744,205,73328,205,28537,9804,9468,1193,4822,11,642,265365,136,3453,79,29,77,195,15.01
23605,159,529,26,10771,6293,1689,713,519,11,362,406532,18,2572,31,15,46,290,5.1
63669,557,13422,41,27418,23983,4523,558,19214,20,999,308650,161,4239,58,39,63,486,8.62
76424,607,5489,88,34552,21418,9166,1076,7789,15,1061,305986,118,4286,89,31,104,264,7.87
72560,473,4224,90,32594,20015,6392,1216,8309,36,930,310193,115,5078,89,34,104,465,8.57
20482,256,2237,25,7904,10144,1085,434,3338,6,995,408635,46,1840,21,13,47,298,4.68
65892,340,28788,80,40777,11240,15800,976,15060,13,1178,301685,215,4310,95,37,66,215,5.68
45410,406,8712,33,15318,17740,3980,217,12537,7,930,359180,136,2110,41,21,37,200,5.88
58641,304,108134,324,39098,14528,14171,596,5935,13,690,196137,104,3441,99,28,80,132,20.09
61393,743,9591,21,20004,27030,3799,596,19659,13,1231,315241,235,3040,44,20,54,293,9.08
87062,1533,58305,90,46792,40710,23518,1100,13576,36,3059,211703,710,4676,177,30,116,245,10.47
46309,526,11335,21,11191,17176,3437,271,17953,6,471,370352,196,1601,34,14,19,203,3.12
29638,515,3852,24,6854,15640,905,527,6973,6,615,393630,116,1475,28,13,29,304,5.02
23075,277,2487,36,8113,10991,1568,325,3561,8,432,410458,52,2506,25,17,24,394,3.51
48268,459,3138,55,13919,20123,2895,1301,9051,14,602,368389,179,2764,46,21,44,252,4.51
65892,325,1515,84,38609,13316,6814,1224,7122,11,554,325571,74,4430,99,26,113,185,7.2
88279,410,5739,17,17626,39731,4342,372,14689,15,2077,291448,72,2536,26,19,119,196,8.97
40170,412,7576,60,16087,16686,3618,449,5712,13,637,355067,96,3747,46,32,34,597,8.6
61869,501,9041,31,24550,19359,4885,403,17508,18,860,319541,148,4406,72,31,37,375,8.46
34243,232,5417,58,21123,8858,3317,403,1780,13,847,361143,46,3603,71,26,50,341,9.56
63351,653,10385,19,14828,25585,3015,279,18398,12,615,335948,200,2056,27,21,37,331,5.71
44087,287,104561,45,20074,13166,8744,310,2522,13,751,237272,284,3237,61,29,47,419,18.55
64939,372,5660,168,37350,13316,5126,1681,5267,22,912,309772,79,6451,124,54,95,441,10.29
42075,160,54910,200,23431,8733,6814,364,9125,11,624,305845,100,3333,66,24,51,235,11.13
4499,47,450,9,979,1810,121,46,297,3,314,444254,7,378,7,7,10,54,3.43
78858,480,1830,82,48681,15989,8684,1859,19956,27,1493,285652,73,6529,108,32,112,380,8.73
73407,456,12093,156,34972,19641,14895,844,13353,15,1069,294720,129,4280,79,34,104,238,8.39
54989,353,6697,114,53996,15183,4221,798,3190,13,1174,317438,74,4496,115,40,90,427,8.58
55677,408,27752,92,27837,15374,8141,759,5712,14,681,302760,133,4676,79,35,67,431,11.47
62822,565,12879,16,10142,18404,2714,263,22404,5,676,354646,300,815,17,17,22,97,2.79
52819,443,7140,86,25389,17707,5608,705,5490,16,729,325104,98,4478,69,34,59,464,10.74
40435,388,6046,66,16367,16246,3437,441,5564,13,454,367594,78,3945,49,31,35,616,6.17
31226,185,154590,32,15667,11273,4704,387,445,10,423,213292,110,1840,38,22,34,150,21.59
13972,177,1172,13,3427,7272,482,116,2448,5,655,431026,34,797,10,9,18,152,2.8
76371,238,73400,138,39028,12502,10071,689,3413,16,1301,217172,253,4286,147,28,96,125,18.14
12437,150,1222,18,4476,6782,543,410,1113,6,349,436635,22,1007,13,9,29,209,1.95
69014,235,4874,70,35881,13316,9046,1131,6157,18,655,291542,61,5150,101,44,78,299,13.41
47527,546,4717,25,19654,24273,4282,1549,8160,12,2186,336650,71,2854,71,23,165,202,9.4
24398,252,3809,143,10491,9513,1930,310,3264,8,314,403587,51,2326,29,21,23,375,4.41
70179,599,13994,25,13919,33654,4342,333,19140,17,659,330105,318,2542,30,29,54,247,3.92
52819,582,13822,25,10841,19284,3679,325,19585,10,794,344082,220,3285,32,18,22,415,6.32
57106,313,101202,469,41267,13465,20262,1030,6603,12,611,198007,176,3567,99,28,84,118,19.54
60070,401,2030,127,32873,16180,5849,1317,2893,18,1388,321084,44,5767,105,28,92,409,9.95
39270,207,4660,90,26509,7695,1508,813,2300,18,476,370492,45,4772,72,33,43,547,6.06
74836,518,16381,85,53437,14212,9649,1309,18917,12,1030,282801,167,8597,163,36,153,296,7.34
47262,333,3995,60,20703,14926,4583,542,9718,10,624,363808,81,3069,55,21,51,161,4.93
35566,304,3967,77,19164,12884,2593,813,3635,14,567,378439,57,4167,60,28,47,491,5.36
65892,488,13544,81,37560,23568,11216,349,10460,15,1021,277332,119,4131,86,36,93,215,13.43
39482,246,81119,52,19025,11373,38293,565,6677,10,724,233813,151,2776,54,25,56,180,18.69
64727,299,69698,72,39168,13141,8503,774,2077,15,458,242320,148,5210,86,33,86,212,15.85
56630,158,4167,68,28397,6027,2171,527,816,18,790,341371,26,3783,92,32,83,275,9.3
62610,289,18546,263,28187,11248,14955,449,15727,12,410,323515,181,5108,84,34,59,270,5.05
76530,399,25651,131,51408,16653,17850,1580,18621,20,1113,270647,125,6091,152,40,102,187,7.35
75948,537,10763,81,46372,24215,10855,403,13650,18,1397,266066,164,3801,90,37,84,214,12.66
65998,328,15716,151,37140,14029,17006,774,18546,15,1244,297198,202,5953,115,33,63,218,7.74
64516,505,5246,155,36580,14727,6452,1502,9273,23,511,316596,103,7098,102,43,66,375,8.17
13866,169,2473,21,6085,6301,603,124,3190,3,1026,409383,40,1097,25,12,35,258,6.71
83039,381,3345,120,54975,22696,9950,1146,1410,17,1466,270367,61,5623,141,37,106,236,11.82
42287,401,5132,53,18745,16769,3498,527,6603,11,506,369277,103,3069,62,21,55,324,5.18
16354,206,2266,14,5106,7405,844,279,3338,5,502,418872,40,929,17,12,33,137,4.34
28791,295,12650,38,13219,12294,2653,356,4303,9,498,380869,92,2206,34,18,31,241,6.12
104739,712,2873,354,96172,15142,8141,2842,6528,126,1610,204692,134,20635,227,44,173,601,13.53
69702,1465,18968,349,39938,38444,28584,805,11499,24,3653,274106,321,5701,96,33,94,554,6.38
68803,306,56669,89,38469,14021,12181,658,3561,19,650,246200,302,4292,112,28,85,238,15.19
76953,345,3745,80,62529,15499,7719,821,3487,28,410,304957,77,10941,119,45,103,261,4.78
45780,325,5818,81,22172,12751,5608,627,5490,13,423,351795,73,3993,66,32,47,419,7.78
60546,316,87194,83,32733,11514,3498,860,3116,23,1658,202074,68,4910,96,37,117,289,24.16
54883,252,58005,68,28607,16204,7598,596,2522,12,2501,242274,140,3399,87,29,129,225,20.25
45145,279,5010,72,23221,11556,2714,263,3264,15,650,356516,64,4041,77,28,75,350,7.75
59964,388,30525,83,30775,19226,12423,651,7419,16,1174,278173,110,4526,82,36,88,310,13.61
63986,371,2616,106,33083,15657,12724,1495,8828,15,799,319261,59,4772,85,33,80,329,7.87
70126,281,1458,82,45113,15524,11880,697,12686,16,436,311642,37,4400,103,29,93,169,6.7
52449,455,5832,82,23571,18164,4824,891,6009,18,554,340950,85,4964,64,38,54,465,7.78
66103,612,16174,77,37979,19251,12000,612,21143,11,1183,300096,200,3939,82,24,58,254,7.1
71925,584,5610,44,27138,28648,5669,627,13205,13,886,326833,86,3351,59,37,104,260,4.51
21646,249,2559,26,7064,10369,1266,170,3561,7,345,417750,45,1775,19,15,31,288,2.72
54830,728,7769,25,16017,23684,2774,984,14318,11,2086,319915,208,2758,40,24,56,376,11.2
38741,402,6025,25,10841,21302,2714,271,5712,10,899,364602,91,2062,25,20,33,290,7.67
81875,244,40109,107,86030,6982,17548,1363,28710,45,807,231382,343,11936,291,39,54,161,6.73
86268,520,22828,129,45393,19882,23760,821,18472,15,947,263449,165,4376,111,31,108,149,7.39
44087,104,180462,99,23081,2864,21347,488,4748,4,816,135651,149,4334,77,11,33,63,28.32
29056,207,3824,48,17416,9090,1869,186,1706,10,493,390779,44,2224,46,21,48,362,5.53
23022,187,20255,28,9932,8434,4402,349,5638,6,354,395173,80,1757,17,16,22,119,3.73
43240,287,34220,81,23081,14619,7538,488,6157,12,847,321084,133,3297,70,28,119,347,9.81
71396,457,8012,111,36720,17757,8925,937,7789,17,711,298226,93,5557,97,41,76,349,10.14
84521,394,10199,55,45113,11091,11337,1177,5267,12,476,252277,153,4352,164,28,96,167,16.96
78700,452,14251,118,47771,21667,19297,821,14986,15,1191,273078,148,5210,137,33,99,190,8.46
67956,343,40216,109,36720,18828,14352,767,7641,14,978,266160,150,4191,101,30,91,180,12.2
53719,420,5103,85,25180,17931,5427,844,6899,17,624,337304,82,4772,76,39,60,436,8.02
51867,291,14501,237,25879,10991,5005,627,5490,15,362,331788,81,4310,90,33,57,278,9.36
68273,485,8383,163,43924,18828,14895,1092,10609,14,1706,284156,156,4634,125,29,148,217,11.05
75895,760,22313,71,47981,25054,15558,1084,21440,17,1239,270507,210,5216,150,41,105,310,7.58
21752,123,736,27,25739,5512,844,821,445,8,572,403914,42,2548,35,24,37,433,3.96
7886,90,14451,18,17486,664,3498,410,371,4,2191,23652,56,240,60,9,1.5,19,87.39
23763,296,2723,21,6994,13208,1387,263,3709,6,358,411393,52,1733,20,13,25,305,3.2
35724,228,23528,62,20913,8376,3317,914,3338,10,951,339922,132,2986,58,37,90,379,11.05
67638,493,13701,102,25529,18703,6995,589,15876,13,681,322486,184,4221,72,31,55,295,5.79
34243,203,141439,26,14828,11332,3437,364,445,8,345,229372,151,2026,44,24,28,164,19.71
67056,582,9820,42,29096,28350,8081,867,14021,20,1021,300330,123,3795,71,35,94,202,9.62
71396,633,30210,55,53786,12303,14955,1038,19288,12,1623,251295,459,6601,127,27,61,296,12.25
65786,588,5410,62,31824,21924,9890,922,8606,14,1244,308183,61,3453,86,31,114,185,9.54
30855,651,108706,42,21682,8210,5427,643,3042,8,480,264337,616,2338,50,21,50,384,15.88
64622,545,3531,49,30355,19708,3679,341,6306,14,611,335481,77,4658,54,36,61,421,6.07
29109,309,13150,40,12730,13847,2895,379,4896,8,668,387694,83,2002,35,18,31,257,4.33
45939,351,3345,65,29516,8766,2472,728,2003,10,681,350579,69,3321,62,25,92,366,8.84
33555,185,436,44,24130,6616,1206,929,1039,12,471,393724,52,3489,53,28,32,510,3.73
39482,391,10063,57,15877,18695,3920,441,5712,10,1623,354412,92,3693,46,32,39,586,8.01
40911,243,3538,68,21612,9472,3317,805,7641,13,624,372829,67,3717,55,31,47,412,5.11
73354,672,43061,172,61130,10161,20684,1208,20179,13,1807,254708,647,8315,176,39,85,470,7.06
74413,406,1787,12,15318,41192,2653,310,10534,16,1104,332910,58,2698,20,20,61,258,4.47
14978,211,2337,20,6505,6683,724,294,2522,6,406,418358,36,1145,15,11,26,210,4.66
38053,253,138795,39,18535,15134,9709,356,3264,8,960,175851,235,2422,50,23,121,134,28.11
28632,150,3752,51,13149,5545,3618,503,668,9,463,384001,25,2194,83,64,73,167,7.95
52555,294,2845,1009,28397,9821,3498,496,1706,14,415,333050,70,3795,71,19,59,244,11.21
69861,535,10528,51,25669,23153,8201,596,20549,16,1270,316924,156,3159,80,39,83,294,5.77
22652,275,2237,23,7694,11672,1508,287,4674,6,415,418171,51,1547,24,15,23,244,2.06
87591,536,17817,110,55815,19085,14352,1440,11276,24,1322,265926,176,7236,141,39,118,264,7.8
54142,468,14365,49,21053,15416,7176,403,19808,8,546,346840,200,2932,58,21,35,251,3.89
23022,157,195757,39,13499,5645,4342,232,593,6,637,169026,118,1667,39,19,36,131,27.96
58271,271,17424,79,36580,16727,7297,1100,1929,11,1152,272938,74,3105,102,31,94,185,18.02
84045,432,1544,77,44974,17126,10433,767,9867,10,463,304022,128,5120,119,29,79,185,5.94
59541,579,21813,34,18255,12236,6091,341,15134,10,2034,211656,364,2926,52,22,38,255,31.92
52078,282,4867,64,22382,12112,6030,465,8531,12,938,342726,68,2722,68,29,80,221,8.38
50861,433,7404,83,22871,17607,4764,743,6232,15,786,341511,90,4640,61,39,53,492,7.86
42499,428,17281,36,16856,21351,7236,318,5564,10,646,347634,96,2530,39,25,39,268,7.29
29321,125,266369,35,16227,7131,6633,240,519,6,279,85074,276,1499,54,23,51,56,34.06
72560,397,3445,124,40987,14594,6091,1727,4525,26,768,299021,78,7458,127,43,92,454,10.59
55836,280,3102,55,19934,18902,2653,333,6677,15,1026,323702,63,3705,51,22,65,323,12.16
36307,152,223201,74,21612,7031,6030,449,1632,10,471,111998,155,2200,62,24,45,105,31.92
61605,366,2895,11,7484,22829,1628,124,14540,7,567,357451,127,1139,18,13,34,109,4.89
29850,190,5282,54,18395,8866,3196,550,2077,10,964,375213,79,2440,78,18,87,289,7.94
90714,695,6139,100,46233,24506,12724,844,10831,17,1314,266487,121,5767,127,31,139,239,10.12
87115,147,1029,4,8813,42694,1387,155,15505,18,1161,317625,38,827,10,13,80,70,6.11
37100,179,160022,54,15597,4773,8262,372,16024,4,537,206655,1200,1667,46,11,31,159,18.96
59276,325,11392,318,70923,11688,31539,1262,10238,10,615,270367,43,6079,188,27,93,181,9.52
57900,464,26980,107,41336,15208,11759,1123,8680,15,829,289765,106,6685,162,31,92,320,10.57
86797,873,4910,69,38958,26664,9950,976,2003,15,1772,282754,95,4005,84,36,193,266,10.14
87062,617,17253,168,49590,20546,14171,1262,13279,17,934,260971,179,5887,134,39,450,247,9.71
66580,504,3123,91,30985,22298,5910,1324,5119,16,768,325244,81,5204,90,35,81,394,7.08
48479,426,20119,16,11890,26316,5066,302,7419,8,2461,346139,84,2194,21,26,45,251,5.96
75312,528,21655,68,37420,20945,15317,1239,7196,13,969,273405,110,3987,100,35,136,192,11.36
16671,203,2287,20,9512,8766,784,147,1261,5,733,414291,38,809,34,8,31,99,4.73
69544,438,5875,88,32104,16055,6754,836,9793,20,847,319121,96,6643,102,35,67,366,7.12
88279,505,3538,222,52108,13847,6030,3555,3338,39,3151,268076,326,12092,162,85,141,649,11.23
28315,300,3037,39,12100,14063,2653,333,3932,7,524,400876,52,2080,34,16,35,301,3.38
37789,276,5196,69,18675,13963,3679,248,4451,11,829,359367,68,3207,62,24,56,358,8.69
77271,521,3952,70,34412,25278,7960,813,10460,15,676,309585,71,4604,73,31,106,259,6.57
43452,391,10935,30,16437,20621,5367,341,6677,8,816,352776,97,2122,34,25,39,233,7.27
22705,224,4603,32,11750,11082,1749,426,2448,8,397,398585,41,2224,27,20,43,271,5.43
49803,502,7469,26,16856,20696,3498,635,14615,11,973,346232,102,2416,39,22,58,272,7.08
69332,315,17610,66,35671,14843,3679,519,1410,15,445,313745,77,4137,99,34,59,282,8.45
48638,269,10442,75,23781,12593,7056,434,14392,15,768,339407,112,4976,79,23,39,292,7.39
22070,302,1887,31,13989,12776,1327,620,2226,8,1026,406906,51,1727,25,20,53,208,3.64
68009,587,14044,85,36720,21924,12302,759,14466,17,1074,299862,135,4700,97,31,100,270,7.68
61764,216,21212,125,40147,7496,12724,689,16840,12,1139,288877,198,5569,142,24,43,198,10.96
27786,149,822,23,13919,3304,482,93,297,12,454,401764,15,2992,35,24,31,285,5.43
32178,250,6618,54,14548,10452,2533,333,3413,9,463,384889,69,2734,51,24,33,390,5.6
43928,270,5117,81,21682,11531,4462,713,8754,8,803,355534,68,2368,63,28,55,172,7.62
41123,511,8541,42,22312,14519,4402,968,11573,8,1344,347214,202,2464,72,19,45,317,8.42
62505,372,46248,92,33223,14577,8985,813,5935,16,672,263028,103,4478,97,37,70,267,15.21
42552,369,6218,70,20144,13457,3859,767,4229,13,532,352028,78,3483,52,31,45,383,9
60705,635,44969,614,27208,20953,21528,620,12982,17,729,276724,348,2674,62,22,52,212,10.06
11538,140,1101,23,3637,5512,362,155,2448,3,445,433363,29,923,18,10,17,286,2.98
53825,351,4617,70,23011,13673,5488,581,6232,15,642,341791,76,4298,64,30,54,280,8.22
38635,376,7104,67,17486,15233,3980,457,4822,13,572,354319,90,3999,51,29,35,593,9.12
67691,379,3588,220,98620,8999,1327,3245,1632,27,1069,271863,49,6505,252,111,208,480,10.7
38424,290,2401,55,16926,12070,1809,434,4525,20,786,376803,52,5959,59,35,37,546,5.52
65415,479,10528,69,35042,21991,9649,503,7048,13,742,268918,104,3393,78,32,80,361,17.31
85051,204,46070,222,78336,7671,18694,1533,11573,6,1148,217827,209,6649,264,22,149,99,12.08
48321,325,14751,67,23711,14179,7116,713,7789,13,768,339922,90,4137,63,31,53,350,7.47
15348,216,1322,13,3287,8982,543,124,3190,3,354,433269,37,1001,14,9,30,181,1.8
58059,496,6597,77,27698,18653,6332,573,7938,15,729,321878,101,4778,80,39,67,480,9.53
31702,305,3273,38,11681,12726,2352,271,4154,9,528,391714,57,2446,35,20,48,397,4.83
74307,572,14330,110,42246,20779,15016,891,14615,19,1100,287755,143,5539,125,31,96,281,7.78
51126,417,163238,58,26229,9812,8563,782,1632,15,1418,147851,266,2716,70,36,96,154,28.02
33766,355,4102,33,12800,19326,3377,356,4080,8,423,386292,68,2140,29,20,33,291,4.38
64463,481,14773,42,24970,21775,6573,751,17434,9,1606,315708,151,3411,62,27,84,255,7.25
22599,248,2573,34,8323,10626,1568,410,2893,6,550,411300,42,1799,28,13,44,234,3.61
53560,615,9162,16,12660,21634,2292,434,19956,15,1061,300563,141,2932,64,28,36,357,15.76
